2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_description (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_description_time = 1.508474349975586ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_auth
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка аутентификации на строке 13
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Аутентификация на строке 13 корректна
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_auth (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_auth_time = 1.4040470123291016ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_https
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка HTTPS на строке 13
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | HTTPS на строке 13 корректен
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_https (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_https_time = 1.0142326354980469ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_cors
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка CORS на строке 13
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | CORS на строке 13 корректен
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_cors (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_cors_time = 1.5482902526855469ms
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Запись на строке 13 прошла все проверки успешно
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_entry (0.02 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_entry_time = 16.80302619934082ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_entry
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Начало проверки записи на строке 16
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_title
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка заголовка на строке 16
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 16: Title syntax should be "[TITLE](LINK)"
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_title (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_title_time = 2.332925796508789ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_description
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка описания на строке 16
2025-12-06 01:13:02 | api_format_checker.errors           | WARNING  | logger_config   | warning                  :48   | Validation warning at line 16: description is very short (11 characters)
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Описание на строке 16 прошло проверку
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_description (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_description_time = 2.3343563079833984ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_auth
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка аутентификации на строке 16
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 16: auth value is not enclosed with `backticks`
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 16: Auth is not a valid Auth option
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_auth (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_auth_time = 4.756450653076172ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_https
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка HTTPS на строке 16
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 16: HTTPS is not a valid HTTPS option
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_https (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_https_time = 2.2308826446533203ms
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Начало операции: check_cors
2025-12-06 01:13:02 | api_format_checker.validation       | DEBUG    | logger_config   | debug                    :40   | Проверка CORS на строке 16
2025-12-06 01:13:02 | api_format_checker.errors           | ERROR    | logger_config   | error                    :52   | Validation error at line 16: CORS is not a valid CORS option
2025-12-06 01:13:02 | api_format_checker.format_checker   | INFO     | logger_config   | info                     :44   | Операция завершена успешно: check_cors (0.00 сек)
2025-12-06 01:13:02 | api_format_checker.performance      | INFO     | logger_config   | info                     :44   | Performance: check_cors_time = 2.0728111267089844ms
